Entity,Code,Year,Number of children who are stunted (IHME)
Palestine,PSE,1995,83638.93224
Palestine,PSE,2000,68434.46114999999
Palestine,PSE,2005,128679.31828
Palestine,PSE,2010,82250.5851
Palestine,PSE,2016,61626.79124000001
Panama,PAN,1990,47864.32483
Panama,PAN,1995,63424.467990000005
Panama,PAN,2000,86547.8112
Panama,PAN,2005,84304.20825
Panama,PAN,2010,69509.99007
Panama,PAN,2016,61417.78632000001
Papua New Guinea,PNG,1990,263119.8272
Papua New Guinea,PNG,1995,362984.51629
Papua New Guinea,PNG,2000,470349.16532
Papua New Guinea,PNG,2005,525293.3096399999
Papua New Guinea,PNG,2010,516526.42685999995
Papua New Guinea,PNG,2016,502373.25609999994
Paraguay,PRY,1990,119978.99264999997
Paraguay,PRY,1995,109956.4152
Paraguay,PRY,2000,105279.86480000001
Paraguay,PRY,2005,84618.80861000002
Paraguay,PRY,2010,60100.32438
Paraguay,PRY,2016,48261.743839999996
Peru,PER,1990,1209413.4796800003
Peru,PER,1995,1035649.81256
Peru,PER,2000,924785.95494
Peru,PER,2005,977772.4973600002
Peru,PER,2010,777972.8008800001
Peru,PER,2016,494914.742
Philippines,PHL,1990,4101600.4559999993
Philippines,PHL,1995,3853171.8829999994
Philippines,PHL,2000,4035189.2174
Philippines,PHL,2005,4191674.2544800006
Philippines,PHL,2010,4086016.573649999
Philippines,PHL,2016,3623078.4496600004
Poland,POL,1990,293091.53804
Poland,POL,1995,270252.37161
Poland,POL,2000,209780.91642
Poland,POL,2005,157294.69108
Poland,POL,2010,158905.6558
Poland,POL,2016,132296.6736
Portugal,PRT,1990,17098.93444
Portugal,PRT,1995,10881.379320000002
Portugal,PRT,2000,8982.650810000001
Portugal,PRT,2005,8752.796970000001
Portugal,PRT,2010,7585.248890000001
Portugal,PRT,2016,6345.466820000001
Qatar,QAT,1990,6599.668839999999
Qatar,QAT,1995,5595.84268
Qatar,QAT,2000,5316.25584
Qatar,QAT,2005,5970.719789999999
Qatar,QAT,2010,7453.4465
Qatar,QAT,2016,9567.54148
Romania,ROU,1990,225192.05143999998
Romania,ROU,1995,205923.63180000003
Romania,ROU,2000,189776.37545999998
Romania,ROU,2005,153767.59092000002
Romania,ROU,2010,149062.36800000002
Romania,ROU,2016,115264.9312
Russia,RUS,1990,2507915.0602
Russia,RUS,1995,1482947.7785099999
Russia,RUS,2000,907205.31314
Russia,RUS,2005,920037.2381200001
Russia,RUS,2010,886791.23546
Russia,RUS,2016,970695.28095
Rwanda,RWA,1990,783959.8494
Rwanda,RWA,1995,382547.85489
Rwanda,RWA,2000,624557.09624
Rwanda,RWA,2005,672124.2399999999
Rwanda,RWA,2010,661637.4846199999
Rwanda,RWA,2016,612446.7117
Saint Lucia,LCA,1990,982.4923
Saint Lucia,LCA,1995,808.8015
Saint Lucia,LCA,2000,631.2249600000001
Saint Lucia,LCA,2005,450.7411
Saint Lucia,LCA,2010,367.53185
Saint Lucia,LCA,2016,349.89734999999996
Saint Vincent and the Grenadines,VCT,1990,2156.65944
Saint Vincent and the Grenadines,VCT,1995,1720.8048
Saint Vincent and the Grenadines,VCT,2000,1243.7898
Saint Vincent and the Grenadines,VCT,2005,1031.40531
Saint Vincent and the Grenadines,VCT,2010,914.14323
Saint Vincent and the Grenadines,VCT,2016,795.3468399999998
Samoa,WSM,1990,2180.06236
Samoa,WSM,1995,2158.9053200000003
Samoa,WSM,2000,2052.01584
Samoa,WSM,2005,1978.043
Samoa,WSM,2010,1940.3249999999998
Samoa,WSM,2016,1930.91525
Sao Tome and Principe,STP,1990,6966.987359999998
Sao Tome and Principe,STP,1995,7945.2709
Sao Tome and Principe,STP,2000,8469.237350000001
Sao Tome and Principe,STP,2005,8840.9618
Sao Tome and Principe,STP,2010,7938.623149999999
Sao Tome and Principe,STP,2016,5191.261
Saudi Arabia,SAU,1990,686015.59026
Saudi Arabia,SAU,1995,552153.6859200001
Saudi Arabia,SAU,2000,394967.3706
Saudi Arabia,SAU,2005,298938.0915
Saudi Arabia,SAU,2010,248746.87733
Saudi Arabia,SAU,2016,199422.27261
Senegal,SEN,1990,449002.2637100001
Senegal,SEN,1995,499534.1792000001
Senegal,SEN,2000,512848.08680000005
Senegal,SEN,2005,417557.3258400001
Senegal,SEN,2010,544694.84664
Senegal,SEN,2016,468979.69499999995
Serbia,SRB,1990,51002.13664
Serbia,SRB,1995,47760.432080000006
Serbia,SRB,2000,43667.072140000004
Serbia,SRB,2005,40468.453
Serbia,SRB,2010,41062.4772
Serbia,SRB,2016,43447.57872
Seychelles,SYC,1990,694.95165
Seychelles,SYC,1995,658.79764
Seychelles,SYC,2000,622.2088400000001
Seychelles,SYC,2005,809.5255500000001
Seychelles,SYC,2010,655.6086
Seychelles,SYC,2016,720.1099399999999
Sierra Leone,SLE,1990,326853.80384999997
Sierra Leone,SLE,1995,296219.12305999995
Sierra Leone,SLE,2000,312250.19450000004
Sierra Leone,SLE,2005,432237.76812
Sierra Leone,SLE,2010,455858.28518000006
Sierra Leone,SLE,2016,408668.7839999999
Singapore,SGP,1990,9360.983610000001
Singapore,SGP,1995,9570.9072
Singapore,SGP,2000,7928.055519999999
Singapore,SGP,2005,6978.0853799999995
Singapore,SGP,2010,6838.11954
Singapore,SGP,2016,6445.44248
Slovakia,SVK,1990,34911.00723
Slovakia,SVK,1995,33558.77991
Slovakia,SVK,2000,26962.441349999997
Slovakia,SVK,2005,21443.88606
Slovakia,SVK,2010,20985.37326
Slovakia,SVK,2016,19827.27018
Slovenia,SVN,1990,9677.13081
Slovenia,SVN,1995,9179.31573
Slovenia,SVN,2000,8341.96806
Slovenia,SVN,2005,7112.342160000001
Slovenia,SVN,2010,7812.248850000001
Slovenia,SVN,2016,7621.898880000002
Solomon Islands,SLB,1990,18320.04349
Solomon Islands,SLB,1995,18006.85764
Solomon Islands,SLB,2000,18498.587250000004
Solomon Islands,SLB,2005,22287.88578
Solomon Islands,SLB,2010,21011.430900000003
Solomon Islands,SLB,2016,21418.430670000005
Somalia,SOM,1990,482037.97664
Somalia,SOM,1995,517067.9682799999
Somalia,SOM,2000,585594.09536
Somalia,SOM,2005,803244.406
Somalia,SOM,2010,693666.5718600003
Somalia,SOM,2016,763631.79024
South Africa,ZAF,1990,1583631.9329600001
South Africa,ZAF,1995,1416418.9387599998
South Africa,ZAF,2000,1305485.3321999998
South Africa,ZAF,2005,1192130.5988699999
South Africa,ZAF,2010,1194726.69936
South Africa,ZAF,2016,1122948.9124999999
South Korea,KOR,1990,93204.70173
South Korea,KOR,1995,91771.7723
South Korea,KOR,2000,78116.68041
South Korea,KOR,2005,71131.18781999998
South Korea,KOR,2010,76313.19292
South Korea,KOR,2016,69964.71196
South Sudan,SSD,1990,459577.12008
South Sudan,SSD,1995,420895.76396999997
South Sudan,SSD,2000,484849.50075
South Sudan,SSD,2005,475024.5875199999
South Sudan,SSD,2010,499663.02126000007
South Sudan,SSD,2016,554209.7999999999
Spain,ESP,1990,35727.897
Spain,ESP,1995,26116.484579999997
Spain,ESP,2000,22511.421950000004
Spain,ESP,2005,24575.974019999998
Spain,ESP,2010,27427.958959999996
Spain,ESP,2016,22343.475000000002
Sri Lanka,LKA,1990,599398.3589999999
Sri Lanka,LKA,1995,419833.47815999994
Sri Lanka,LKA,2000,417207.13080000004
Sri Lanka,LKA,2005,320363.46824
Sri Lanka,LKA,2010,288163.56766
Sri Lanka,LKA,2016,240639.11211999995
Sudan,SDN,1990,1608991.88039
Sudan,SDN,1995,1872946.54631
Sudan,SDN,2000,2123566.85068
Sudan,SDN,2005,2092204.9083200004
Sudan,SDN,2010,2020869.5291999998
Sudan,SDN,2016,1938223.9601200002
Suriname,SUR,1990,7270.73538
Suriname,SUR,1995,7624.013760000001
Suriname,SUR,2000,7608.1065
Suriname,SUR,2005,5930.175300000001
Suriname,SUR,2010,4776.62034
Suriname,SUR,2016,4522.27586
Sweden,SWE,1990,11543.635269999999
Sweden,SWE,1995,8464.640480000002
Sweden,SWE,2000,5836.081910000002
Sweden,SWE,2005,6086.25297
Sweden,SWE,2010,6964.600020000001
Sweden,SWE,2016,7110.505709999999
Switzerland,CHE,1990,6740.03136
Switzerland,CHE,1995,5552.7405
Switzerland,CHE,2000,4805.369140000001
Switzerland,CHE,2005,4359.097100000001
Switzerland,CHE,2010,4517.31492
Switzerland,CHE,2016,4960.568539999999
Syria,SYR,1990,755462.23698
Syria,SYR,1995,668865.68293
Syria,SYR,2000,781774.7577000001
Syria,SYR,2005,824303.0183
Syria,SYR,2010,880886.67642
Syria,SYR,2016,447868.04400000005
Taiwan,TWN,1990,109138.29406000001
Taiwan,TWN,1995,106777.67004000003
Taiwan,TWN,2000,91157.11098
Taiwan,TWN,2005,64511.114850000005
Taiwan,TWN,2010,48336.784680000004
Taiwan,TWN,2016,49795.20762
Tajikistan,TJK,1990,376920.2263
Tajikistan,TJK,1995,384342.77055
Tajikistan,TJK,2000,363337.87581000006
Tajikistan,TJK,2005,306947.49498
Tajikistan,TJK,2010,302908.29722999997
Tajikistan,TJK,2016,365145.17076999997
Tanzania,TZA,1990,2180658.62212
Tanzania,TZA,1995,2868533.8687199997
Tanzania,TZA,2000,2863871.12016
Tanzania,TZA,2005,2956788.1194
Tanzania,TZA,2010,3294579.2088599997
Tanzania,TZA,2016,3012246.38318
Thailand,THA,1990,1529926.3536900003
Thailand,THA,1995,878625.8932500001
Thailand,THA,2000,723771.56056
Thailand,THA,2005,652552.8397199999
Thailand,THA,2010,614266.01998
Thailand,THA,2016,504116.73624
Timor,TLS,1990,72380.87011
Timor,TLS,1995,86972.92101
Timor,TLS,2000,91402.12991
Timor,TLS,2005,93513.51372
Timor,TLS,2010,87743.55384000002
Timor,TLS,2016,74781.72672
Togo,TGO,1990,256284.07493999996
Togo,TGO,1995,253745.19647000005
Togo,TGO,2000,269521.56332
Togo,TGO,2005,302742.26039999997
Togo,TGO,2010,298876.90238000004
Togo,TGO,2016,233696.37962999998
Tonga,TON,1990,1639.36064
Tonga,TON,1995,1503.80251
Tonga,TON,2000,1342.4057999999995
Tonga,TON,2005,1291.8696000000002
Tonga,TON,2010,1238.1875
Tonga,TON,2016,989.9026799999999
Trinidad and Tobago,TTO,1990,4897.2704
Trinidad and Tobago,TTO,1995,2329.2302600000007
Trinidad and Tobago,TTO,2000,2286.10416
Trinidad and Tobago,TTO,2005,1672.82169
Trinidad and Tobago,TTO,2010,1510.68928
Trinidad and Tobago,TTO,2016,1433.4258599999998
Tunisia,TUN,1990,243512.50903000002
Tunisia,TUN,1995,198228.40050000002
Tunisia,TUN,2000,131177.52264
Tunisia,TUN,2005,94852.96844999999
Tunisia,TUN,2010,86987.27751999999
Tunisia,TUN,2016,90445.05658
Turkey,TUR,1990,1409518.58
Turkey,TUR,1995,1373234.8664999998
Turkey,TUR,2000,1111026.444
Turkey,TUR,2005,891681.7818300001
Turkey,TUR,2010,752480.8357499999
Turkey,TUR,2016,672775.52265
Turkmenistan,TKM,1990,137579.91814
Turkmenistan,TKM,1995,140248.11049999998
Turkmenistan,TKM,2000,125707.07431000001
Turkmenistan,TKM,2005,94538.77704
Turkmenistan,TKM,2010,78977.62882
Turkmenistan,TKM,2016,79408.63763999999
Uganda,UGA,1990,1532982.3548800002
Uganda,UGA,1995,1941412.4114
Uganda,UGA,2000,2174696.4078399995
Uganda,UGA,2005,2159125.1697400003
Uganda,UGA,2010,2219328.46044
Uganda,UGA,2016,2122930.30392
Ukraine,UKR,1990,775410.9455999999
Ukraine,UKR,1995,623389.7567799999
Ukraine,UKR,2000,491227.65877000004
Ukraine,UKR,2005,391404.77757
Ukraine,UKR,2010,414794.43376000004
Ukraine,UKR,2016,398914.38619000005
United Arab Emirates,ARE,1990,52154.72064
United Arab Emirates,ARE,1995,48901.23120999999
United Arab Emirates,ARE,2000,41144.167180000004
United Arab Emirates,ARE,2005,37783.438799999996
United Arab Emirates,ARE,2010,51991.267900000006
United Arab Emirates,ARE,2016,55094.09919999999
United Kingdom,GBR,1990,154943.41499999998
United Kingdom,GBR,1995,132643.90257999997
United Kingdom,GBR,2000,112484.592
United Kingdom,GBR,2005,107061.5376
United Kingdom,GBR,2010,117916.678
United Kingdom,GBR,2016,116912.24236999999
United States,USA,1990,508924.3442
United States,USA,1995,499747.90371000004
United States,USA,2000,475223.67249000014
United States,USA,2005,449589.42066
United States,USA,2010,414879.94794000004
United States,USA,2016,374463.83246999996
Uruguay,URY,1990,39333.48705
Uruguay,URY,1995,33775.38178
Uruguay,URY,2000,30482.13167999999
Uruguay,URY,2005,28363.345920000003
Uruguay,URY,2010,23641.199890000004
Uruguay,URY,2016,21787.316819999996
Uzbekistan,UZB,1990,1123818.38604
Uzbekistan,UZB,1995,1270707.03963
Uzbekistan,UZB,2000,901781.9020199999
Uzbekistan,UZB,2005,576980.93616
Uzbekistan,UZB,2010,537445.79988
Uzbekistan,UZB,2016,532701.5862000001
Vanuatu,VUT,1990,6187.1835
Vanuatu,VUT,1995,6646.702840000001
Vanuatu,VUT,2000,6821.495639999998
Vanuatu,VUT,2005,7312.572860000001
Vanuatu,VUT,2010,8916.195869999998
Vanuatu,VUT,2016,8719.27606
Venezuela,VEN,1990,460904.9536800001
Venezuela,VEN,1995,489193.25832000014
Venezuela,VEN,2000,456316.35004999995
Venezuela,VEN,2005,406964.3844200001
Venezuela,VEN,2010,355433.55967999995
Venezuela,VEN,2016,302915.793
Vietnam,VNM,1990,5109758.74041
Vietnam,VNM,1995,4614274.21078
Vietnam,VNM,2000,3094901.3824
Vietnam,VNM,2005,2087058.37788
Vietnam,VNM,2010,2079301.6999200003
Vietnam,VNM,2016,1532559.67902
Yemen,YEM,1990,1330521.97005
Yemen,YEM,1995,1639139.9877
Yemen,YEM,2000,1721100.2643200003
Yemen,YEM,2005,1736187.1072000002
Yemen,YEM,2010,1880038.9845000003
Yemen,YEM,2016,1784097.2006000003
Zambia,ZMB,1990,797996.0404
Zambia,ZMB,1995,903453.4306499999
Zambia,ZMB,2000,1065308.71491
Zambia,ZMB,2005,1164217.6454700003
Zambia,ZMB,2010,1111742.7776000001
Zambia,ZMB,2016,1140175.8216199998
Zimbabwe,ZWE,1990,542267.21376
Zimbabwe,ZWE,1995,544519.7792300001
Zimbabwe,ZWE,2000,540376.85613
Zimbabwe,ZWE,2005,600908.2160199999
Zimbabwe,ZWE,2010,676718.74842
Zimbabwe,ZWE,2016,611613.4083199999
